block_id,drug_row,drug_col,Row,Col,conc_r,conc_c,replicate,conc_r_unit,line,response,conc_c_unit
Everolimus_AZD5363,AZD5363,DMSO,6,4,0,0.08,1,uM,D135T01,101.80747486668412,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D013T01,101.35021947388398,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D019T01,95.58890894909484,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D080T01,115.95935494886697,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D090T01,77.0072394851102,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D092T01,95.31309839131191,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D093N11,180.3354017843433,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D104T01,101.82957417146257,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D105T01,100.38454536698546,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D114T01,91.01608977200667,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D115T01,91.91463675448844,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D131T01,104.46823286909282,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D134T01,92.9213664190079,uM
Everolimus_AZD5363,AZD5363,DMSO,6,5,0,0.016,1,uM,D135T01,111.34952957558436,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D013T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D019T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D080T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D090T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D092T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D093N11,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D104T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D105T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D114T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D115T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D131T01,100,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D134T01,100.00000000000001,uM
Everolimus_AZD5363,DMSO,DMSO,6,6,0,0,1,uM,D135T01,100,uM
Everolimus_AZD5363,Everolimus,AZD5363,1,1,10,10,1,uM,D013T01,57.09571664852741,uM
Everolimus_AZD5363,Everolimus,AZD5363,1,1,10,10,1,uM,D019T01,59.44903144137508,uM
