block_id,method,line,score
Everolimus_AZD5363,Bliss,D013T01,1.2938997073085057
Everolimus_AZD5363,Bliss,D019T01,11.89611491245382
Everolimus_AZD5363,Bliss,D080T01,3.964949634997213
Everolimus_AZD5363,Bliss,D090T01,1.8482246469504335
Everolimus_AZD5363,Bliss,D092T01,6.22240848470177
Everolimus_AZD5363,Bliss,D104T01,5.868571926595747
Everolimus_AZD5363,Bliss,D105T01,5.929239610017245
Everolimus_AZD5363,Bliss,D114T01,4.275919053231309
Everolimus_AZD5363,Bliss,D115T01,8.301125215518098
Everolimus_AZD5363,Bliss,D131T01,9.569299959127687
Everolimus_AZD5363,Bliss,D134T01,3.6585292929471183
Everolimus_AZD5363,Bliss,D135T01,4.938468423575491
Everolimus_AZD5363,HSA,D013T01,1.7374833218888743
Everolimus_AZD5363,HSA,D019T01,10.581197909159368
Everolimus_AZD5363,HSA,D080T01,3.645698919822704
Everolimus_AZD5363,HSA,D090T01,0.8783080515331889
Everolimus_AZD5363,HSA,D092T01,10.87390845781645
Everolimus_AZD5363,HSA,D104T01,6.186283438713184
Everolimus_AZD5363,HSA,D105T01,5.056197436659527
Everolimus_AZD5363,HSA,D114T01,3.9463711483182222
Everolimus_AZD5363,HSA,D115T01,10.412264476945005
Everolimus_AZD5363,HSA,D131T01,9.477096720915009
Everolimus_AZD5363,HSA,D134T01,4.143453246479026
Everolimus_AZD5363,HSA,D135T01,6.237508976150025
Everolimus_AZD5363,Loewe,D013T01,0.015197101843278604
Everolimus_AZD5363,Loewe,D019T01,10.957229122894113
Everolimus_AZD5363,Loewe,D080T01,5.157414630426453
Everolimus_AZD5363,Loewe,D090T01,2.017939697299375
Everolimus_AZD5363,Loewe,D092T01,9.115745178612876
Everolimus_AZD5363,Loewe,D104T01,7.791028828163838
Everolimus_AZD5363,Loewe,D105T01,2.6519058690108213
Everolimus_AZD5363,Loewe,D114T01,-2.1791602783819126
Everolimus_AZD5363,Loewe,D115T01,6.987392472792479
Everolimus_AZD5363,Loewe,D131T01,0.396708134134179
Everolimus_AZD5363,Loewe,D134T01,3.5894351636112063
Everolimus_AZD5363,Loewe,D135T01,2.5877055236887663
Everolimus_AZD5363,ZIP,D013T01,-2.584519640083735
Everolimus_AZD5363,ZIP,D019T01,1.79284020423363
Everolimus_AZD5363,ZIP,D080T01,-2.005124520022456
Everolimus_AZD5363,ZIP,D090T01,-1.090655829561983
Everolimus_AZD5363,ZIP,D092T01,8.740772441899914
Everolimus_AZD5363,ZIP,D104T01,-1.5485876312879692
Everolimus_AZD5363,ZIP,D105T01,1.442509019805925
Everolimus_AZD5363,ZIP,D114T01,4.181133769945217
Everolimus_AZD5363,ZIP,D115T01,7.089146749673092
Everolimus_AZD5363,ZIP,D131T01,10.542212510192485
Everolimus_AZD5363,ZIP,D134T01,0.5294297744974461
Everolimus_AZD5363,ZIP,D135T01,1.674284754872013
Napabucasin_Rucaparib,Bliss,D013T01,3.0035145713400375
Napabucasin_Rucaparib,Bliss,D019T01,-3.653631029364432
Napabucasin_Rucaparib,Bliss,D080T01,9.013055140021777
Napabucasin_Rucaparib,Bliss,D090T01,4.470767450248894
Napabucasin_Rucaparib,Bliss,D092T01,4.969818672977112
Napabucasin_Rucaparib,Bliss,D104T01,6.9005736302396095
Napabucasin_Rucaparib,Bliss,D105T01,1.6787525998637205
Napabucasin_Rucaparib,Bliss,D114T01,11.230880960509246
Napabucasin_Rucaparib,Bliss,D115T01,-3.3218378578764005
Napabucasin_Rucaparib,Bliss,D131T01,23.491063727057213
Napabucasin_Rucaparib,Bliss,D134T01,9.921898340515654
Napabucasin_Rucaparib,Bliss,D135T01,3.9160010429864194
Napabucasin_Rucaparib,HSA,D013T01,1.556386008673444
Napabucasin_Rucaparib,HSA,D019T01,-4.273926113823679
Napabucasin_Rucaparib,HSA,D080T01,7.462324947213494
Napabucasin_Rucaparib,HSA,D090T01,3.454263632009247
Napabucasin_Rucaparib,HSA,D092T01,6.21244240536664
Napabucasin_Rucaparib,HSA,D104T01,6.099261529745403
Napabucasin_Rucaparib,HSA,D105T01,0.9075090035675362
Napabucasin_Rucaparib,HSA,D114T01,10.292580610377605
Napabucasin_Rucaparib,HSA,D115T01,-3.6720034291313173
Napabucasin_Rucaparib,HSA,D131T01,23.13852503954414
Napabucasin_Rucaparib,HSA,D134T01,10.793278346502166
Napabucasin_Rucaparib,HSA,D135T01,2.181379694402157
Napabucasin_Rucaparib,Loewe,D013T01,-5.88037680026653
Napabucasin_Rucaparib,Loewe,D019T01,-8.290380027912645
Napabucasin_Rucaparib,Loewe,D080T01,8.217227300379541
Napabucasin_Rucaparib,Loewe,D090T01,-2.2838850203051453
Napabucasin_Rucaparib,Loewe,D092T01,-5.217720347826741
Napabucasin_Rucaparib,Loewe,D104T01,8.196490758474816
Napabucasin_Rucaparib,Loewe,D105T01,-4.766381494671327
Napabucasin_Rucaparib,Loewe,D114T01,3.472079899775663
Napabucasin_Rucaparib,Loewe,D115T01,-11.364012526748894
Napabucasin_Rucaparib,Loewe,D131T01,23.735292508289554
Napabucasin_Rucaparib,Loewe,D134T01,5.667481184594955
Napabucasin_Rucaparib,Loewe,D135T01,-7.633384337396083
Napabucasin_Rucaparib,ZIP,D013T01,4.815775072330015
Napabucasin_Rucaparib,ZIP,D019T01,-3.3052121247159096
Napabucasin_Rucaparib,ZIP,D080T01,6.675472886508787
Napabucasin_Rucaparib,ZIP,D090T01,3.20129780470791
Napabucasin_Rucaparib,ZIP,D092T01,4.821010194079587
Napabucasin_Rucaparib,ZIP,D104T01,4.8604052976031085
Napabucasin_Rucaparib,ZIP,D105T01,2.586522561218933
Napabucasin_Rucaparib,ZIP,D114T01,8.959883171913594
Napabucasin_Rucaparib,ZIP,D115T01,1.6235430464417397
Napabucasin_Rucaparib,ZIP,D131T01,23.461457468716723
Napabucasin_Rucaparib,ZIP,D134T01,10.214292050969462
Napabucasin_Rucaparib,ZIP,D135T01,4.643185653320689
Napabucasin_Sunitinib,Bliss,D013T01,-17.28737071745033
Napabucasin_Sunitinib,Bliss,D019T01,-13.573640229285612
Napabucasin_Sunitinib,Bliss,D080T01,3.5740898475375675
Napabucasin_Sunitinib,Bliss,D090T01,-8.89863425354239
Napabucasin_Sunitinib,Bliss,D092T01,-1.0156954980398027
Napabucasin_Sunitinib,Bliss,D104T01,-7.637225877502049
Napabucasin_Sunitinib,Bliss,D105T01,-11.635346639018948
Napabucasin_Sunitinib,Bliss,D114T01,-4.4719943827590525
Napabucasin_Sunitinib,Bliss,D115T01,-10.243067929536224
Napabucasin_Sunitinib,Bliss,D131T01,-0.0018432736260054483
Napabucasin_Sunitinib,Bliss,D134T01,-3.138284796006266
Napabucasin_Sunitinib,Bliss,D135T01,-1.9761919533345564
Napabucasin_Sunitinib,HSA,D013T01,-19.11348313427238
Napabucasin_Sunitinib,HSA,D019T01,-13.080080237476237
Napabucasin_Sunitinib,HSA,D080T01,3.1739279188578817
Napabucasin_Sunitinib,HSA,D090T01,-8.395273533648579
Napabucasin_Sunitinib,HSA,D092T01,-0.8836188078319779
Napabucasin_Sunitinib,HSA,D104T01,-7.964372830454634
Napabucasin_Sunitinib,HSA,D105T01,-12.135171420876798
Napabucasin_Sunitinib,HSA,D114T01,-4.937702457700344
