"","concentration_pair","drug_pair","rep","destination.well","pipetting_iteration","source.well","Destination_Plate","Source_Position","volume"
"63","5-min_3","AB",2,"E11","well1","A5","384_Master","Master_Library_DWPlate",30
"64","5-min_4","AB",2,"J08","well1","A5","384_Master","Master_Library_DWPlate",30
"65","5-min_5-min","AB",2,"E01","well1","A5","384_Master","Master_Library_DWPlate",30
"66","5-min_6-DMSO","AB",2,"I04","well1","A5","384_Master","Master_Library_DWPlate",30
"67","6-DMSO_1-max","AB",2,"N09","well1","A6","384_Master","Master_Library_DWPlate",30
"68","6-DMSO_2","AB",2,"F17","well1","A6","384_Master","Master_Library_DWPlate",30
"69","6-DMSO_3","AB",2,"L08","well1","A6","384_Master","Master_Library_DWPlate",30
"70","6-DMSO_4","AB",2,"D02","well1","A6","384_Master","Master_Library_DWPlate",30
"71","6-DMSO_5-min","AB",2,"J12","well1","A6","384_Master","Master_Library_DWPlate",30
"72","6-DMSO_6-DMSO","AB",2,"F24","well1","A6","384_Master","Master_Library_DWPlate",30
"73","1-max_1-max","AB",3,"K16","well1","A1","384_Master","Master_Library_DWPlate",30
"74","1-max_2","AB",3,"O14","well1","A1","384_Master","Master_Library_DWPlate",30
"75","1-max_3","AB",3,"H04","well1","A1","384_Master","Master_Library_DWPlate",30
"76","1-max_4","AB",3,"J21","well1","A1","384_Master","Master_Library_DWPlate",30
"77","1-max_5-min","AB",3,"C22","well1","A1","384_Master","Master_Library_DWPlate",30
"78","1-max_6-DMSO","AB",3,"F13","well1","A1","384_Master","Master_Library_DWPlate",30
"79","2_1-max","AB",3,"I21","well1","A2","384_Master","Master_Library_DWPlate",30
"80","2_2","AB",3,"A06","well1","A2","384_Master","Master_Library_DWPlate",30
"81","2_3","AB",3,"K15","well1","A2","384_Master","Master_Library_DWPlate",30
"82","2_4","AB",3,"A21","well1","A2","384_Master","Master_Library_DWPlate",30
"83","2_5-min","AB",3,"N22","well1","A2","384_Master","Master_Library_DWPlate",30
"84","2_6-DMSO","AB",3,"P18","well1","A2","384_Master","Master_Library_DWPlate",30
"85","3_1-max","AB",3,"E15","well1","A3","384_Master","Master_Library_DWPlate",30
"86","3_2","AB",3,"D21","well1","A3","384_Master","Master_Library_DWPlate",30
"87","3_3","AB",3,"H15","well1","A3","384_Master","Master_Library_DWPlate",30
"88","3_4","AB",3,"M01","well1","A3","384_Master","Master_Library_DWPlate",30
"89","3_5-min","AB",3,"D20","well1","A3","384_Master","Master_Library_DWPlate",30
"90","3_6-DMSO","AB",3,"A14","well1","A3","384_Master","Master_Library_DWPlate",30
"91","4_1-max","AB",3,"M17","well1","A4","384_Master","Master_Library_DWPlate",30
"92","4_2","AB",3,"C01","well1","A4","384_Master","Master_Library_DWPlate",30
"93","4_3","AB",3,"D04","well1","A4","384_Master","Master_Library_DWPlate",30
"94","4_4","AB",3,"C02","well1","A4","384_Master","Master_Library_DWPlate",30
"95","4_5-min","AB",3,"D03","well1","A4","384_Master","Master_Library_DWPlate",30
"96","4_6-DMSO","AB",3,"K02","well1","A4","384_Master","Master_Library_DWPlate",30
"97","5-min_1-max","AB",3,"B19","well1","A5","384_Master","Master_Library_DWPlate",30
"98","5-min_2","AB",3,"I16","well1","A5","384_Master","Master_Library_DWPlate",30
"99","5-min_3","AB",3,"A18","well1","A5","384_Master","Master_Library_DWPlate",30
"100","5-min_4","AB",3,"B20","well1","A5","384_Master","Master_Library_DWPlate",30
