"","concentration_pair","drug_pair","rep","destination.well","pipetting_iteration","source.well","Destination_Plate","Source_Position","volume"
"312","4_6-DMSO","EF",3,"N23","well1","E4","384_Master","Master_Library_DWPlate",30
"313","5-min_1-max","EF",3,"F10","well1","E5","384_Master","Master_Library_DWPlate",30
"314","5-min_2","EF",3,"C08","well1","E5","384_Master","Master_Library_DWPlate",30
"315","5-min_3","EF",3,"C13","well1","E5","384_Master","Master_Library_DWPlate",30
"316","5-min_4","EF",3,"I01","well1","E5","384_Master","Master_Library_DWPlate",30
"317","5-min_5-min","EF",3,"I12","well1","E5","384_Master","Master_Library_DWPlate",30
"318","5-min_6-DMSO","EF",3,"C21","well1","E5","384_Master","Master_Library_DWPlate",30
"319","6-DMSO_1-max","EF",3,"K19","well1","E6","384_Master","Master_Library_DWPlate",30
"320","6-DMSO_2","EF",3,"N01","well1","E6","384_Master","Master_Library_DWPlate",30
"321","6-DMSO_3","EF",3,"P14","well1","E6","384_Master","Master_Library_DWPlate",30
"322","6-DMSO_4","EF",3,"J23","well1","E6","384_Master","Master_Library_DWPlate",30
"323","6-DMSO_5-min","EF",3,"C15","well1","E6","384_Master","Master_Library_DWPlate",30
"324","6-DMSO_6-DMSO","EF",3,"M09","well1","E6","384_Master","Master_Library_DWPlate",30
"325","1-max_1-max","AB",1,"L10","well2","B1","384_Master","Master_Library_DWPlate",30
"326","1-max_2","AB",1,"G01","well2","B2","384_Master","Master_Library_DWPlate",30
"327","1-max_3","AB",1,"N24","well2","B3","384_Master","Master_Library_DWPlate",30
"328","1-max_4","AB",1,"O20","well2","B4","384_Master","Master_Library_DWPlate",30
"329","1-max_5-min","AB",1,"B11","well2","B5","384_Master","Master_Library_DWPlate",30
"330","1-max_6-DMSO","AB",1,"H13","well2","B6","384_Master","Master_Library_DWPlate",30
"331","2_1-max","AB",1,"H08","well2","B1","384_Master","Master_Library_DWPlate",30
"332","2_2","AB",1,"N13","well2","B2","384_Master","Master_Library_DWPlate",30
"333","2_3","AB",1,"F14","well2","B3","384_Master","Master_Library_DWPlate",30
"334","2_4","AB",1,"O10","well2","B4","384_Master","Master_Library_DWPlate",30
"335","2_5-min","AB",1,"B13","well2","B5","384_Master","Master_Library_DWPlate",30
"336","2_6-DMSO","AB",1,"N17","well2","B6","384_Master","Master_Library_DWPlate",30
"337","3_1-max","AB",1,"G20","well2","B1","384_Master","Master_Library_DWPlate",30
"338","3_2","AB",1,"B09","well2","B2","384_Master","Master_Library_DWPlate",30
"339","3_3","AB",1,"E12","well2","B3","384_Master","Master_Library_DWPlate",30
"340","3_4","AB",1,"J22","well2","B4","384_Master","Master_Library_DWPlate",30
"341","3_5-min","AB",1,"M05","well2","B5","384_Master","Master_Library_DWPlate",30
"342","3_6-DMSO","AB",1,"E21","well2","B6","384_Master","Master_Library_DWPlate",30
"343","4_1-max","AB",1,"L21","well2","B1","384_Master","Master_Library_DWPlate",30
"344","4_2","AB",1,"E07","well2","B2","384_Master","Master_Library_DWPlate",30
"345","4_3","AB",1,"D14","well2","B3","384_Master","Master_Library_DWPlate",30
"346","4_4","AB",1,"I19","well2","B4","384_Master","Master_Library_DWPlate",30
"347","4_5-min","AB",1,"J11","well2","B5","384_Master","Master_Library_DWPlate",30
"348","4_6-DMSO","AB",1,"F05","well2","B6","384_Master","Master_Library_DWPlate",30
"349","5-min_1-max","AB",1,"D16","well2","B1","384_Master","Master_Library_DWPlate",30
"350","5-min_2","AB",1,"F01","well2","B2","384_Master","Master_Library_DWPlate",30
"351","5-min_3","AB",1,"N18","well2","B3","384_Master","Master_Library_DWPlate",30
"352","5-min_4","AB",1,"H10","well2","B4","384_Master","Master_Library_DWPlate",30
"353","5-min_5-min","AB",1,"B02","well2","B5","384_Master","Master_Library_DWPlate",30
"354","5-min_6-DMSO","AB",1,"M04","well2","B6","384_Master","Master_Library_DWPlate",30
"355","6-DMSO_1-max","AB",1,"D15","well2","B1","384_Master","Master_Library_DWPlate",30
"356","6-DMSO_2","AB",1,"L03","well2","B2","384_Master","Master_Library_DWPlate",30
"357","6-DMSO_3","AB",1,"M07","well2","B3","384_Master","Master_Library_DWPlate",30
"358","6-DMSO_4","AB",1,"H09","well2","B4","384_Master","Master_Library_DWPlate",30
"359","6-DMSO_5-min","AB",1,"P05","well2","B5","384_Master","Master_Library_DWPlate",30
"360","6-DMSO_6-DMSO","AB",1,"J03","well2","B6","384_Master","Master_Library_DWPlate",30
"361","1-max_1-max","AB",2,"O07","well2","B1","384_Master","Master_Library_DWPlate",30
"362","1-max_2","AB",2,"P23","well2","B2","384_Master","Master_Library_DWPlate",30
"363","1-max_3","AB",2,"P07","well2","B3","384_Master","Master_Library_DWPlate",30
"364","1-max_4","AB",2,"M11","well2","B4","384_Master","Master_Library_DWPlate",30
"365","1-max_5-min","AB",2,"I11","well2","B5","384_Master","Master_Library_DWPlate",30
"366","1-max_6-DMSO","AB",2,"J15","well2","B6","384_Master","Master_Library_DWPlate",30
"367","2_1-max","AB",2,"M24","well2","B1","384_Master","Master_Library_DWPlate",30
"368","2_2","AB",2,"B15","well2","B2","384_Master","Master_Library_DWPlate",30
"369","2_3","AB",2,"F11","well2","B3","384_Master","Master_Library_DWPlate",30
"370","2_4","AB",2,"L19","well2","B4","384_Master","Master_Library_DWPlate",30
"371","2_5-min","AB",2,"J06","well2","B5","384_Master","Master_Library_DWPlate",30
"372","2_6-DMSO","AB",2,"G18","well2","B6","384_Master","Master_Library_DWPlate",30
"373","3_1-max","AB",2,"H23","well2","B1","384_Master","Master_Library_DWPlate",30
"374","3_2","AB",2,"A08","well2","B2","384_Master","Master_Library_DWPlate",30
"375","3_3","AB",2,"N02","well2","B3","384_Master","Master_Library_DWPlate",30
"376","3_4","AB",2,"I22","well2","B4","384_Master","Master_Library_DWPlate",30
"377","3_5-min","AB",2,"N11","well2","B5","384_Master","Master_Library_DWPlate",30
"378","3_6-DMSO","AB",2,"P22","well2","B6","384_Master","Master_Library_DWPlate",30
"379","4_1-max","AB",2,"L13","well2","B1","384_Master","Master_Library_DWPlate",30
"380","4_2","AB",2,"B04","well2","B2","384_Master","Master_Library_DWPlate",30
"381","4_3","AB",2,"N20","well2","B3","384_Master","Master_Library_DWPlate",30
"382","4_4","AB",2,"A15","well2","B4","384_Master","Master_Library_DWPlate",30
"383","4_5-min","AB",2,"L22","well2","B5","384_Master","Master_Library_DWPlate",30
"384","4_6-DMSO","AB",2,"D22","well2","B6","384_Master","Master_Library_DWPlate",30
"385","5-min_1-max","AB",2,"I06","well2","B1","384_Master","Master_Library_DWPlate",30
"386","5-min_2","AB",2,"I02","well2","B2","384_Master","Master_Library_DWPlate",30
"387","5-min_3","AB",2,"E11","well2","B3","384_Master","Master_Library_DWPlate",30
"388","5-min_4","AB",2,"J08","well2","B4","384_Master","Master_Library_DWPlate",30
"389","5-min_5-min","AB",2,"E01","well2","B5","384_Master","Master_Library_DWPlate",30
"390","5-min_6-DMSO","AB",2,"I04","well2","B6","384_Master","Master_Library_DWPlate",30
"391","6-DMSO_1-max","AB",2,"N09","well2","B1","384_Master","Master_Library_DWPlate",30
"392","6-DMSO_2","AB",2,"F17","well2","B2","384_Master","Master_Library_DWPlate",30
"393","6-DMSO_3","AB",2,"L08","well2","B3","384_Master","Master_Library_DWPlate",30
"394","6-DMSO_4","AB",2,"D02","well2","B4","384_Master","Master_Library_DWPlate",30
"395","6-DMSO_5-min","AB",2,"J12","well2","B5","384_Master","Master_Library_DWPlate",30
"396","6-DMSO_6-DMSO","AB",2,"F24","well2","B6","384_Master","Master_Library_DWPlate",30
"397","1-max_1-max","AB",3,"K16","well2","B1","384_Master","Master_Library_DWPlate",30
"398","1-max_2","AB",3,"O14","well2","B2","384_Master","Master_Library_DWPlate",30
"399","1-max_3","AB",3,"H04","well2","B3","384_Master","Master_Library_DWPlate",30
"400","1-max_4","AB",3,"J21","well2","B4","384_Master","Master_Library_DWPlate",30
"401","1-max_5-min","AB",3,"C22","well2","B5","384_Master","Master_Library_DWPlate",30
"402","1-max_6-DMSO","AB",3,"F13","well2","B6","384_Master","Master_Library_DWPlate",30
"403","2_1-max","AB",3,"I21","well2","B1","384_Master","Master_Library_DWPlate",30
"404","2_2","AB",3,"A06","well2","B2","384_Master","Master_Library_DWPlate",30
"405","2_3","AB",3,"K15","well2","B3","384_Master","Master_Library_DWPlate",30
"406","2_4","AB",3,"A21","well2","B4","384_Master","Master_Library_DWPlate",30
"407","2_5-min","AB",3,"N22","well2","B5","384_Master","Master_Library_DWPlate",30
"408","2_6-DMSO","AB",3,"P18","well2","B6","384_Master","Master_Library_DWPlate",30
"409","3_1-max","AB",3,"E15","well2","B1","384_Master","Master_Library_DWPlate",30
"410","3_2","AB",3,"D21","well2","B2","384_Master","Master_Library_DWPlate",30
"411","3_3","AB",3,"H15","well2","B3","384_Master","Master_Library_DWPlate",30
"412","3_4","AB",3,"M01","well2","B4","384_Master","Master_Library_DWPlate",30
"413","3_5-min","AB",3,"D20","well2","B5","384_Master","Master_Library_DWPlate",30
"414","3_6-DMSO","AB",3,"A14","well2","B6","384_Master","Master_Library_DWPlate",30
"415","4_1-max","AB",3,"M17","well2","B1","384_Master","Master_Library_DWPlate",30
"416","4_2","AB",3,"C01","well2","B2","384_Master","Master_Library_DWPlate",30
"417","4_3","AB",3,"D04","well2","B3","384_Master","Master_Library_DWPlate",30
"418","4_4","AB",3,"C02","well2","B4","384_Master","Master_Library_DWPlate",30
"419","4_5-min","AB",3,"D03","well2","B5","384_Master","Master_Library_DWPlate",30
"420","4_6-DMSO","AB",3,"K02","well2","B6","384_Master","Master_Library_DWPlate",30
"421","5-min_1-max","AB",3,"B19","well2","B1","384_Master","Master_Library_DWPlate",30
"422","5-min_2","AB",3,"I16","well2","B2","384_Master","Master_Library_DWPlate",30
"423","5-min_3","AB",3,"A18","well2","B3","384_Master","Master_Library_DWPlate",30
"424","5-min_4","AB",3,"B20","well2","B4","384_Master","Master_Library_DWPlate",30
"425","5-min_5-min","AB",3,"J04","well2","B5","384_Master","Master_Library_DWPlate",30
"426","5-min_6-DMSO","AB",3,"A22","well2","B6","384_Master","Master_Library_DWPlate",30
"427","6-DMSO_1-max","AB",3,"J09","well2","B1","384_Master","Master_Library_DWPlate",30
"428","6-DMSO_2","AB",3,"O13","well2","B2","384_Master","Master_Library_DWPlate",30
"429","6-DMSO_3","AB",3,"E20","well2","B3","384_Master","Master_Library_DWPlate",30
"430","6-DMSO_4","AB",3,"G17","well2","B4","384_Master","Master_Library_DWPlate",30
"431","6-DMSO_5-min","AB",3,"L24","well2","B5","384_Master","Master_Library_DWPlate",30
"432","6-DMSO_6-DMSO","AB",3,"H12","well2","B6","384_Master","Master_Library_DWPlate",30
"433","1-max_1-max","CD",1,"A02","well2","D1","384_Master","Master_Library_DWPlate",30
"434","1-max_2","CD",1,"L14","well2","D2","384_Master","Master_Library_DWPlate",30
"435","1-max_3","CD",1,"P09","well2","D3","384_Master","Master_Library_DWPlate",30
"436","1-max_4","CD",1,"F07","well2","D4","384_Master","Master_Library_DWPlate",30
"437","1-max_5-min","CD",1,"E24","well2","D5","384_Master","Master_Library_DWPlate",30
"438","1-max_6-DMSO","CD",1,"I09","well2","D6","384_Master","Master_Library_DWPlate",30
"439","2_1-max","CD",1,"O09","well2","D1","384_Master","Master_Library_DWPlate",30
"440","2_2","CD",1,"I24","well2","D2","384_Master","Master_Library_DWPlate",30
"441","2_3","CD",1,"A05","well2","D3","384_Master","Master_Library_DWPlate",30
"442","2_4","CD",1,"I18","well2","D4","384_Master","Master_Library_DWPlate",30
"443","2_5-min","CD",1,"P19","well2","D5","384_Master","Master_Library_DWPlate",30
"444","2_6-DMSO","CD",1,"E04","well2","D6","384_Master","Master_Library_DWPlate",30
"445","3_1-max","CD",1,"B01","well2","D1","384_Master","Master_Library_DWPlate",30
"446","3_2","CD",1,"F23","well2","D2","384_Master","Master_Library_DWPlate",30
"447","3_3","CD",1,"K01","well2","D3","384_Master","Master_Library_DWPlate",30
"448","3_4","CD",1,"L12","well2","D4","384_Master","Master_Library_DWPlate",30
"449","3_5-min","CD",1,"C06","well2","D5","384_Master","Master_Library_DWPlate",30
"450","3_6-DMSO","CD",1,"M22","well2","D6","384_Master","Master_Library_DWPlate",30
"451","4_1-max","CD",1,"H03","well2","D1","384_Master","Master_Library_DWPlate",30
"452","4_2","CD",1,"I05","well2","D2","384_Master","Master_Library_DWPlate",30
"453","4_3","CD",1,"O08","well2","D3","384_Master","Master_Library_DWPlate",30
"454","4_4","CD",1,"M02","well2","D4","384_Master","Master_Library_DWPlate",30
"455","4_5-min","CD",1,"A23","well2","D5","384_Master","Master_Library_DWPlate",30
"456","4_6-DMSO","CD",1,"K04","well2","D6","384_Master","Master_Library_DWPlate",30
"457","5-min_1-max","CD",1,"H17","well2","D1","384_Master","Master_Library_DWPlate",30
"458","5-min_2","CD",1,"H16","well2","D2","384_Master","Master_Library_DWPlate",30
"459","5-min_3","CD",1,"L05","well2","D3","384_Master","Master_Library_DWPlate",30
"460","5-min_4","CD",1,"F19","well2","D4","384_Master","Master_Library_DWPlate",30
"461","5-min_5-min","CD",1,"H21","well2","D5","384_Master","Master_Library_DWPlate",30
"462","5-min_6-DMSO","CD",1,"I10","well2","D6","384_Master","Master_Library_DWPlate",30
"463","6-DMSO_1-max","CD",1,"H19","well2","D1","384_Master","Master_Library_DWPlate",30
"464","6-DMSO_2","CD",1,"D07","well2","D2","384_Master","Master_Library_DWPlate",30
"465","6-DMSO_3","CD",1,"E08","well2","D3","384_Master","Master_Library_DWPlate",30
"466","6-DMSO_4","CD",1,"I23","well2","D4","384_Master","Master_Library_DWPlate",30
"467","6-DMSO_5-min","CD",1,"N04","well2","D5","384_Master","Master_Library_DWPlate",30
"468","6-DMSO_6-DMSO","CD",1,"E09","well2","D6","384_Master","Master_Library_DWPlate",30
"469","1-max_1-max","CD",2,"L16","well2","D1","384_Master","Master_Library_DWPlate",30
"470","1-max_2","CD",2,"I07","well2","D2","384_Master","Master_Library_DWPlate",30
"471","1-max_3","CD",2,"F21","well2","D3","384_Master","Master_Library_DWPlate",30
"472","1-max_4","CD",2,"B07","well2","D4","384_Master","Master_Library_DWPlate",30
"473","1-max_5-min","CD",2,"D12","well2","D5","384_Master","Master_Library_DWPlate",30
"474","1-max_6-DMSO","CD",2,"H24","well2","D6","384_Master","Master_Library_DWPlate",30
"475","2_1-max","CD",2,"B23","well2","D1","384_Master","Master_Library_DWPlate",30
"476","2_2","CD",2,"P08","well2","D2","384_Master","Master_Library_DWPlate",30
"477","2_3","CD",2,"O15","well2","D3","384_Master","Master_Library_DWPlate",30
"478","2_4","CD",2,"D09","well2","D4","384_Master","Master_Library_DWPlate",30
"479","2_5-min","CD",2,"E14","well2","D5","384_Master","Master_Library_DWPlate",30
"480","2_6-DMSO","CD",2,"M13","well2","D6","384_Master","Master_Library_DWPlate",30
"481","3_1-max","CD",2,"C03","well2","D1","384_Master","Master_Library_DWPlate",30
"482","3_2","CD",2,"A04","well2","D2","384_Master","Master_Library_DWPlate",30
"483","3_3","CD",2,"A19","well2","D3","384_Master","Master_Library_DWPlate",30
"484","3_4","CD",2,"P16","well2","D4","384_Master","Master_Library_DWPlate",30
"485","3_5-min","CD",2,"G04","well2","D5","384_Master","Master_Library_DWPlate",30
"486","3_6-DMSO","CD",2,"I17","well2","D6","384_Master","Master_Library_DWPlate",30
"487","4_1-max","CD",2,"H20","well2","D1","384_Master","Master_Library_DWPlate",30
"488","4_2","CD",2,"D19","well2","D2","384_Master","Master_Library_DWPlate",30
"489","4_3","CD",2,"F22","well2","D3","384_Master","Master_Library_DWPlate",30
"490","4_4","CD",2,"A12","well2","D4","384_Master","Master_Library_DWPlate",30
"491","4_5-min","CD",2,"D11","well2","D5","384_Master","Master_Library_DWPlate",30
"492","4_6-DMSO","CD",2,"N03","well2","D6","384_Master","Master_Library_DWPlate",30
"493","5-min_1-max","CD",2,"N16","well2","D1","384_Master","Master_Library_DWPlate",30
"494","5-min_2","CD",2,"C12","well2","D2","384_Master","Master_Library_DWPlate",30
"495","5-min_3","CD",2,"F04","well2","D3","384_Master","Master_Library_DWPlate",30
"496","5-min_4","CD",2,"G22","well2","D4","384_Master","Master_Library_DWPlate",30
"497","5-min_5-min","CD",2,"M10","well2","D5","384_Master","Master_Library_DWPlate",30
"498","5-min_6-DMSO","CD",2,"G13","well2","D6","384_Master","Master_Library_DWPlate",30
"499","6-DMSO_1-max","CD",2,"O12","well2","D1","384_Master","Master_Library_DWPlate",30
"500","6-DMSO_2","CD",2,"F02","well2","D2","384_Master","Master_Library_DWPlate",30
"501","6-DMSO_3","CD",2,"G02","well2","D3","384_Master","Master_Library_DWPlate",30
"502","6-DMSO_4","CD",2,"A20","well2","D4","384_Master","Master_Library_DWPlate",30
"503","6-DMSO_5-min","CD",2,"G23","well2","D5","384_Master","Master_Library_DWPlate",30
"504","6-DMSO_6-DMSO","CD",2,"O24","well2","D6","384_Master","Master_Library_DWPlate",30
"505","1-max_1-max","CD",3,"K11","well2","D1","384_Master","Master_Library_DWPlate",30
"506","1-max_2","CD",3,"K22","well2","D2","384_Master","Master_Library_DWPlate",30
"507","1-max_3","CD",3,"N12","well2","D3","384_Master","Master_Library_DWPlate",30
"508","1-max_4","CD",3,"G07","well2","D4","384_Master","Master_Library_DWPlate",30
"509","1-max_5-min","CD",3,"B18","well2","D5","384_Master","Master_Library_DWPlate",30
"510","1-max_6-DMSO","CD",3,"N05","well2","D6","384_Master","Master_Library_DWPlate",30
"511","2_1-max","CD",3,"M06","well2","D1","384_Master","Master_Library_DWPlate",30
"512","2_2","CD",3,"P02","well2","D2","384_Master","Master_Library_DWPlate",30
"513","2_3","CD",3,"E02","well2","D3","384_Master","Master_Library_DWPlate",30
"514","2_4","CD",3,"H07","well2","D4","384_Master","Master_Library_DWPlate",30
"515","2_5-min","CD",3,"D23","well2","D5","384_Master","Master_Library_DWPlate",30
"516","2_6-DMSO","CD",3,"A03","well2","D6","384_Master","Master_Library_DWPlate",30
"517","3_1-max","CD",3,"G03","well2","D1","384_Master","Master_Library_DWPlate",30
"518","3_2","CD",3,"M08","well2","D2","384_Master","Master_Library_DWPlate",30
"519","3_3","CD",3,"F20","well2","D3","384_Master","Master_Library_DWPlate",30
"520","3_4","CD",3,"I03","well2","D4","384_Master","Master_Library_DWPlate",30
"521","3_5-min","CD",3,"I15","well2","D5","384_Master","Master_Library_DWPlate",30
"522","3_6-DMSO","CD",3,"J16","well2","D6","384_Master","Master_Library_DWPlate",30
"523","4_1-max","CD",3,"L01","well2","D1","384_Master","Master_Library_DWPlate",30
"524","4_2","CD",3,"L17","well2","D2","384_Master","Master_Library_DWPlate",30
"525","4_3","CD",3,"K10","well2","D3","384_Master","Master_Library_DWPlate",30
"526","4_4","CD",3,"O01","well2","D4","384_Master","Master_Library_DWPlate",30
"527","4_5-min","CD",3,"K21","well2","D5","384_Master","Master_Library_DWPlate",30
"528","4_6-DMSO","CD",3,"P04","well2","D6","384_Master","Master_Library_DWPlate",30
"529","5-min_1-max","CD",3,"O02","well2","D1","384_Master","Master_Library_DWPlate",30
"530","5-min_2","CD",3,"J18","well2","D2","384_Master","Master_Library_DWPlate",30
"531","5-min_3","CD",3,"G11","well2","D3","384_Master","Master_Library_DWPlate",30
"532","5-min_4","CD",3,"O05","well2","D4","384_Master","Master_Library_DWPlate",30
"533","5-min_5-min","CD",3,"N07","well2","D5","384_Master","Master_Library_DWPlate",30
"534","5-min_6-DMSO","CD",3,"J24","well2","D6","384_Master","Master_Library_DWPlate",30
"535","6-DMSO_1-max","CD",3,"C14","well2","D1","384_Master","Master_Library_DWPlate",30
"536","6-DMSO_2","CD",3,"P11","well2","D2","384_Master","Master_Library_DWPlate",30
"537","6-DMSO_3","CD",3,"M15","well2","D3","384_Master","Master_Library_DWPlate",30
"538","6-DMSO_4","CD",3,"K08","well2","D4","384_Master","Master_Library_DWPlate",30
"539","6-DMSO_5-min","CD",3,"E10","well2","D5","384_Master","Master_Library_DWPlate",30
"540","6-DMSO_6-DMSO","CD",3,"M23","well2","D6","384_Master","Master_Library_DWPlate",30
"541","1-max_1-max","EF",1,"P03","well2","F1","384_Master","Master_Library_DWPlate",30
"542","1-max_2","EF",1,"O19","well2","F2","384_Master","Master_Library_DWPlate",30
"543","1-max_3","EF",1,"B24","well2","F3","384_Master","Master_Library_DWPlate",30
"544","1-max_4","EF",1,"E23","well2","F4","384_Master","Master_Library_DWPlate",30
"545","1-max_5-min","EF",1,"C19","well2","F5","384_Master","Master_Library_DWPlate",30
"546","1-max_6-DMSO","EF",1,"K06","well2","F6","384_Master","Master_Library_DWPlate",30
"547","2_1-max","EF",1,"K07","well2","F1","384_Master","Master_Library_DWPlate",30
"548","2_2","EF",1,"H22","well2","F2","384_Master","Master_Library_DWPlate",30
"549","2_3","EF",1,"J20","well2","F3","384_Master","Master_Library_DWPlate",30
"550","2_4","EF",1,"G19","well2","F4","384_Master","Master_Library_DWPlate",30
"551","2_5-min","EF",1,"K18","well2","F5","384_Master","Master_Library_DWPlate",30
"552","2_6-DMSO","EF",1,"D18","well2","F6","384_Master","Master_Library_DWPlate",30
"553","3_1-max","EF",1,"E22","well2","F1","384_Master","Master_Library_DWPlate",30
"554","3_2","EF",1,"B22","well2","F2","384_Master","Master_Library_DWPlate",30
"555","3_3","EF",1,"M12","well2","F3","384_Master","Master_Library_DWPlate",30
"556","3_4","EF",1,"O21","well2","F4","384_Master","Master_Library_DWPlate",30
"557","3_5-min","EF",1,"O11","well2","F5","384_Master","Master_Library_DWPlate",30
"558","3_6-DMSO","EF",1,"O04","well2","F6","384_Master","Master_Library_DWPlate",30
"559","4_1-max","EF",1,"B21","well2","F1","384_Master","Master_Library_DWPlate",30
"560","4_2","EF",1,"A01","well2","F2","384_Master","Master_Library_DWPlate",30
"561","4_3","EF",1,"D17","well2","F3","384_Master","Master_Library_DWPlate",30
"562","4_4","EF",1,"G24","well2","F4","384_Master","Master_Library_DWPlate",30
"563","4_5-min","EF",1,"J10","well2","F5","384_Master","Master_Library_DWPlate",30
"564","4_6-DMSO","EF",1,"H18","well2","F6","384_Master","Master_Library_DWPlate",30
"565","5-min_1-max","EF",1,"F12","well2","F1","384_Master","Master_Library_DWPlate",30
"566","5-min_2","EF",1,"K20","well2","F2","384_Master","Master_Library_DWPlate",30
"567","5-min_3","EF",1,"K13","well2","F3","384_Master","Master_Library_DWPlate",30
"568","5-min_4","EF",1,"G21","well2","F4","384_Master","Master_Library_DWPlate",30
"569","5-min_5-min","EF",1,"P10","well2","F5","384_Master","Master_Library_DWPlate",30
"570","5-min_6-DMSO","EF",1,"E16","well2","F6","384_Master","Master_Library_DWPlate",30
"571","6-DMSO_1-max","EF",1,"G15","well2","F1","384_Master","Master_Library_DWPlate",30
"572","6-DMSO_2","EF",1,"J13","well2","F2","384_Master","Master_Library_DWPlate",30
"573","6-DMSO_3","EF",1,"P13","well2","F3","384_Master","Master_Library_DWPlate",30
"574","6-DMSO_4","EF",1,"B05","well2","F4","384_Master","Master_Library_DWPlate",30
"575","6-DMSO_5-min","EF",1,"J01","well2","F5","384_Master","Master_Library_DWPlate",30
"576","6-DMSO_6-DMSO","EF",1,"A07","well2","F6","384_Master","Master_Library_DWPlate",30
"577","1-max_1-max","EF",2,"J17","well2","F1","384_Master","Master_Library_DWPlate",30
"578","1-max_2","EF",2,"H02","well2","F2","384_Master","Master_Library_DWPlate",30
"579","1-max_3","EF",2,"D05","well2","F3","384_Master","Master_Library_DWPlate",30
"580","1-max_4","EF",2,"J07","well2","F4","384_Master","Master_Library_DWPlate",30
"581","1-max_5-min","EF",2,"B12","well2","F5","384_Master","Master_Library_DWPlate",30
"582","1-max_6-DMSO","EF",2,"K14","well2","F6","384_Master","Master_Library_DWPlate",30
"583","2_1-max","EF",2,"P17","well2","F1","384_Master","Master_Library_DWPlate",30
"584","2_2","EF",2,"N06","well2","F2","384_Master","Master_Library_DWPlate",30
"585","2_3","EF",2,"H06","well2","F3","384_Master","Master_Library_DWPlate",30
"586","2_4","EF",2,"F08","well2","F4","384_Master","Master_Library_DWPlate",30
"587","2_5-min","EF",2,"L23","well2","F5","384_Master","Master_Library_DWPlate",30
"588","2_6-DMSO","EF",2,"C05","well2","F6","384_Master","Master_Library_DWPlate",30
"589","3_1-max","EF",2,"F18","well2","F1","384_Master","Master_Library_DWPlate",30
"590","3_2","EF",2,"D06","well2","F2","384_Master","Master_Library_DWPlate",30
"591","3_3","EF",2,"C07","well2","F3","384_Master","Master_Library_DWPlate",30
"592","3_4","EF",2,"O18","well2","F4","384_Master","Master_Library_DWPlate",30
"593","3_5-min","EF",2,"C11","well2","F5","384_Master","Master_Library_DWPlate",30
"594","3_6-DMSO","EF",2,"N19","well2","F6","384_Master","Master_Library_DWPlate",30
"595","4_1-max","EF",2,"C17","well2","F1","384_Master","Master_Library_DWPlate",30
"596","4_2","EF",2,"B10","well2","F2","384_Master","Master_Library_DWPlate",30
"597","4_3","EF",2,"F15","well2","F3","384_Master","Master_Library_DWPlate",30
"598","4_4","EF",2,"L07","well2","F4","384_Master","Master_Library_DWPlate",30
"599","4_5-min","EF",2,"L09","well2","F5","384_Master","Master_Library_DWPlate",30
"600","4_6-DMSO","EF",2,"N21","well2","F6","384_Master","Master_Library_DWPlate",30
"601","5-min_1-max","EF",2,"C23","well2","F1","384_Master","Master_Library_DWPlate",30
"602","5-min_2","EF",2,"C10","well2","F2","384_Master","Master_Library_DWPlate",30
"603","5-min_3","EF",2,"F06","well2","F3","384_Master","Master_Library_DWPlate",30
"604","5-min_4","EF",2,"L04","well2","F4","384_Master","Master_Library_DWPlate",30
"605","5-min_5-min","EF",2,"I13","well2","F5","384_Master","Master_Library_DWPlate",30
"606","5-min_6-DMSO","EF",2,"A24","well2","F6","384_Master","Master_Library_DWPlate",30
"607","6-DMSO_1-max","EF",2,"H01","well2","F1","384_Master","Master_Library_DWPlate",30
"608","6-DMSO_2","EF",2,"P21","well2","F2","384_Master","Master_Library_DWPlate",30
"609","6-DMSO_3","EF",2,"N15","well2","F3","384_Master","Master_Library_DWPlate",30
"610","6-DMSO_4","EF",2,"E19","well2","F4","384_Master","Master_Library_DWPlate",30
"611","6-DMSO_5-min","EF",2,"O16","well2","F5","384_Master","Master_Library_DWPlate",30
"612","6-DMSO_6-DMSO","EF",2,"K12","well2","F6","384_Master","Master_Library_DWPlate",30
"613","1-max_1-max","EF",3,"C18","well2","F1","384_Master","Master_Library_DWPlate",30
"614","1-max_2","EF",3,"D01","well2","F2","384_Master","Master_Library_DWPlate",30
"615","1-max_3","EF",3,"M03","well2","F3","384_Master","Master_Library_DWPlate",30
"616","1-max_4","EF",3,"B16","well2","F4","384_Master","Master_Library_DWPlate",30
"617","1-max_5-min","EF",3,"M14","well2","F5","384_Master","Master_Library_DWPlate",30
"618","1-max_6-DMSO","EF",3,"A16","well2","F6","384_Master","Master_Library_DWPlate",30
"619","2_1-max","EF",3,"G10","well2","F1","384_Master","Master_Library_DWPlate",30
"620","2_2","EF",3,"E05","well2","F2","384_Master","Master_Library_DWPlate",30
"621","2_3","EF",3,"K17","well2","F3","384_Master","Master_Library_DWPlate",30
"622","2_4","EF",3,"D13","well2","F4","384_Master","Master_Library_DWPlate",30
"623","2_5-min","EF",3,"C20","well2","F5","384_Master","Master_Library_DWPlate",30
"624","2_6-DMSO","EF",3,"C04","well2","F6","384_Master","Master_Library_DWPlate",30
"625","3_1-max","EF",3,"P20","well2","F1","384_Master","Master_Library_DWPlate",30
"626","3_2","EF",3,"B14","well2","F2","384_Master","Master_Library_DWPlate",30
"627","3_3","EF",3,"P12","well2","F3","384_Master","Master_Library_DWPlate",30
